,34944_高鐵_促參.pdf,38005_核四_政策.pdf,39243_核四_品質.pdf,39477_核四_料件.pdf,46365_高鐵_基金.pdf,48052_大客車_逃生門.pdf,48746_大客車_安全門.pdf,49490_核四_延宕.pdf,49627_核四_停建.pdf,49676_大客車_駕照.pdf,52922_大客車_超時.pdf,54210_高鐵_出資.pdf,54376_高鐵_航發.pdf,54561_高鐵_機電.pdf,58930_核四_封存.pdf
34944_高鐵_促參.pdf,1.0000004,0.950474,0.9881773,0.9704033,0.9736147,0.960691,0.95547074,0.93669844,0.9506624,0.9783093,0.97754765,0.932363,0.9599205,0.93599206,0.9716054
38005_核四_政策.pdf,0.950474,0.99999994,0.93418896,0.9833129,0.90691435,0.8704442,0.95423454,0.98503876,0.99128246,0.95331943,0.9379171,0.97001064,0.9614931,0.84490544,0.9628645
39243_核四_品質.pdf,0.9881773,0.93418896,0.9999999,0.9550145,0.96547365,0.9582027,0.93341285,0.92496693,0.9363222,0.95798004,0.9608927,0.9068028,0.9373143,0.9315696,0.95429695
39477_核四_料件.pdf,0.9704033,0.9833129,0.9550145,0.99999964,0.9375396,0.9100168,0.96848524,0.97463095,0.9851177,0.9714126,0.9615697,0.97168255,0.9767665,0.87539035,0.97692424
46365_高鐵_基金.pdf,0.9736147,0.90691435,0.96547365,0.9375396,1.0000001,0.98523617,0.9524232,0.8819039,0.90086627,0.973597,0.9818146,0.90703356,0.95333004,0.9612474,0.96297014
48052_大客車_逃生門.pdf,0.960691,0.8704442,0.9582027,0.9100168,0.98523617,1.0000001,0.92403233,0.84349465,0.8671292,0.9553565,0.9663943,0.8656527,0.9221312,0.96875584,0.93658465
48746_大客車_安全門.pdf,0.95547074,0.95423454,0.93341285,0.96848524,0.9524232,0.92403233,0.9999999,0.93369627,0.9479544,0.9870069,0.9784502,0.9802058,0.99037683,0.8794038,0.9863628
49490_核四_延宕.pdf,0.93669844,0.98503876,0.92496693,0.97463095,0.8819039,0.84349465,0.93369627,1.0,0.99285316,0.93061066,0.917297,0.95907545,0.946066,0.81644416,0.94633126
49627_核四_停建.pdf,0.9506624,0.99128246,0.9363222,0.9851177,0.90086627,0.8671292,0.9479544,0.99285316,1.0000002,0.9477896,0.9342425,0.9677705,0.957585,0.8368815,0.96055496
49676_大客車_駕照.pdf,0.9783093,0.95331943,0.95798004,0.9714126,0.973597,0.9553565,0.9870069,0.93061066,0.9477896,1.0,0.9921745,0.9578749,0.9832834,0.9239281,0.99031454
52922_大客車_超時.pdf,0.97754765,0.9379171,0.9608927,0.9615697,0.9818146,0.9663943,0.9784502,0.917297,0.9342425,0.9921745,1.0000001,0.9440302,0.9778629,0.93284774,0.9880933
54210_高鐵_出資.pdf,0.932363,0.97001064,0.9068028,0.97168255,0.90703356,0.8656527,0.9802058,0.95907545,0.9677705,0.9578749,0.9440302,1.0000005,0.98047984,0.8221287,0.9705138
54376_高鐵_航發.pdf,0.9599205,0.9614931,0.9373143,0.9767665,0.95333004,0.9221312,0.99037683,0.946066,0.957585,0.9832834,0.9778629,0.98047984,1.0000004,0.88768375,0.9890993
54561_高鐵_機電.pdf,0.93599206,0.84490544,0.9315696,0.87539035,0.9612474,0.96875584,0.8794038,0.81644416,0.8368815,0.9239281,0.93284774,0.8221287,0.88768375,0.9999999,0.9023737
58930_核四_封存.pdf,0.9716054,0.9628645,0.95429695,0.97692424,0.96297014,0.93658465,0.9863628,0.94633126,0.96055496,0.99031454,0.9880933,0.9705138,0.9890993,0.9023737,1.0
